Model,Accuracy,Precision (Macro),Recall (Macro),F1 (Macro),F1 (Weighted)
xgboost,0.8877799611280366,0.8442754541140121,0.7806353797887419,0.782795218769343,0.8768993665389854
decision_tree,0.8836089887399808,0.8289759126865769,0.7586489503797139,0.7749250399507189,0.8750602284449245
knn,0.8641087558294559,0.7832284366076091,0.7572745425837878,0.7672090215880188,0.8590704262220442
random_forest,0.8840908725845572,0.8518913686315138,0.7160347980183838,0.7430195056546609,0.8716988952567095
lightgbm,0.8126489154936365,0.6073290178144416,0.6144603144299535,0.5962014275723719,0.810354832814913
